cm_id,claim_id,start_date,end_date,pl,productmodel,partno,totalamount,program_number,program_name,descr,actual_activity,reseller,claim_status,business_type,activity_subtype,activity_subtype_id
48896,19168,2022-02-27T00:00:00.000+0000,2022-03-05T00:00:00.000+0000,MS- (544H8A),HyperXCloudStingerRedHX-HSCS-BK,4P5L7AA,4799.21,HAIS-TG-X00122,Target March Promo 2/27/2022-3/5/2022,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
55657,22132,2022-08-29T00:00:00.000+0000,2022-09-24T00:00:00.000+0000,MS- (544H8A),HyperXQuadCastBlk-RdHyperX-MICQC-BK,4P5P6AA,66,HAIS-DH-X06022,D&H B&H Photo Sep Promo 08-29 2022 - 09-24-2022,undefined,Instant Savings,D&H,Approved,HyperX,UNKNOWN,UNKNOWN
57504,22663,2022-04-10T00:00:00.000+0000,2022-04-16T00:00:00.000+0000,MS- (544H8A),HyperXFURYSMousePadHX-MPFS-XL,4P5Q9AA,5,HAIS-BB-X00222,Best Buy Ret Promo 4/10/2022 to 4/16/2022,undefined,Instant Savings,Best Buy,Approved,HyperX,UNKNOWN,UNKNOWN
45356,17507,2022-03-21T00:00:00.000+0000,2022-03-27T00:00:00.000+0000,9G- (4XM15A),HPEncoderGamingRedKeyboard,6YW76AA,4420,AAD-BB-X01022,BBY Gaming Accessories Ad Support Program ,undefined,Ad Funding,Best Buy,Approved,Peripherals,,
43122,16048,2021-12-01T00:00:00.000+0000,2021-12-31T00:00:00.000+0000,E5- (7CC77AA),,,41.8,11915,Q1 22 Toner 1% CX Program,Sales goal Attainment,Margin Enhancement,Amazon,Approved,Toner,Program,Other
57691,22755,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HyperXCloudXStingerHX-HSCSX-BK/WW,4P5K1AA,46.98,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
57699,22755,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HyperXAlloyOriginsBlueHX-KB6BLX,4P5P0AA,24.26,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
52971,21160,2022-09-04T00:00:00.000+0000,2022-10-01T00:00:00.000+0000,LE -(390S6AA),,,23.72,12636,Incremental Marketing - September,undefined,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
59880,23440,2023-01-08T00:00:00.000+0000,2023-01-14T00:00:00.000+0000,1M- (4XM00A),24-cb1256,577F5AA,2075,AAD-OD-D13722,OfficeDepotFQ1'22DTAdSupportProgram,undefined,Ad Funding,Office Depot,Approved,PC,,
43118,16048,2021-12-01T00:00:00.000+0000,2021-12-31T00:00:00.000+0000,GJ- (7CC96AA),,,169907.33,11915,Q1 22 Toner 1% CX Program,Sales goal Attainment,Margin Enhancement,Amazon,Approved,Toner,Program,Other
46890,18744,2022-03-14T00:00:00.000+0000,2022-03-20T00:00:00.000+0000,KV- (4XM40A),11M-BE0013DX,4R0Y4UA,1000,AIS-BB-N02922,BBY C2'21 Cycle IR_Mavis,undefined,Instant Savings,Best Buy,Approved,PC,UNKNOWN,UNKNOWN
56219,22371,2021-11-29T00:00:00.000+0000,2021-11-29T00:00:00.000+0000,1M- (4XM00A),22-AA0022,318D5AA,10,AIS-AM-M00722,Amazon 2021 Black Friday T5 NB_MTR IR,undefined,Instant Savings,Amazon,Clarification,PC,Holiday,Black_Friday
61513,23970,2023-01-22T00:00:00.000+0000,2023-01-28T00:00:00.000+0000,MS- (544H8A),B0B3YB7GLF,639N7AA,12,HAIS-BB-X00223,Best Buy January 2023 Promotions,undefined,Instant Savings,Best Buy,Approved,HyperX,UNKNOWN,UNKNOWN
54864,21849,2022-11-01T00:00:00.000+0000,2022-11-05T00:00:00.000+0000,KV- (4XM40A),16-h0055cl,63U42UA,25850,AEL-2X-N07822,ROC $2.6M Notebook EOL FQ2'22,undefined,End Of Life,Costco,Reversed,PC,UNKNOWN,UNKNOWN
49002,19596,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,KV- (4XM40A),,,143268.37,AOR-TG-M11821,Target Q1 Q2 2022 EE Store Fixture Contribution,undefined,PC Margin Enhancement,Target,Approved,PC,UNKNOWN,UNKNOWN
23774,7906,2020-01-26T00:00:00.000+0000,2020-02-01T00:00:00.000+0000,GC - (7CC91AA),HP Smart Tank Plus 651 AiO Printer,7XV38A,20000,10099,HP Branded Email - Smart Tank,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Email,Email
46677,18647,2022-04-01T00:00:00.000+0000,2022-04-30T00:00:00.000+0000,GK- (7CC97AA),,,208.33,12207,H2 22 Toner A+ Premium Content ,undefined,Ad Funding,Amazon,Approved,Toner,,
23776,7906,2020-01-26T00:00:00.000+0000,2020-02-01T00:00:00.000+0000,4H- (7CC47AA),HP OfficeJet 5260 All-in-One Printer,Z4B13A,15000,10099,HP Branded Email - Smart Tank,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Email,Email
47653,19084,2022-02-01T00:00:00.000+0000,2022-04-30T00:00:00.000+0000,7T- (7CC62AA),,,11089.25,12102,ASP Essendant Q2 '22 Margin Enhancement,undefined,Margin Enhancement,Essendant,Approved,HPS HW,,
44963,17320,2022-02-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,KV- (4XM40A),,,225000,AEL-2X-N04922,Notebook EOL Calendar Q1'22,undefined,End Of Life,D&H,Approved,PC,UNKNOWN,UNKNOWN
40047,15133,2021-03-01T00:00:00.000+0000,2021-03-07T00:00:00.000+0000,8A- (7CC63AA),HP LaserJet Pro MFP M428fdw Printer,W1A30A,30000,11367,Ad Funds - OPS Laser FY'22 H1 ,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,OPS HW A4 & Scanners,Program,Advertising
39454,14997,2021-02-01T00:00:00.000+0000,2021-02-28T00:00:00.000+0000,1N- (7CC38AA),,,25000,11014,1H21 Amazon Product Quality Program,MARKET DEVELOPMENT FUNDS,In-Store Merchandising Enhancement,Amazon,Approved,Ink and Media,,
51105,20478,2022-08-01T00:00:00.000+0000,2022-08-07T00:00:00.000+0000,2G- (7RB34A),M22F,2D9J9AA,53750,AAD-BB-D06422,Best Buy Q2 - Q3 '23 Monitor AD Funding,undefined,Ad Funding,Best Buy,Approved,PC,Program,Advertising
56242,22372,2022-06-26T00:00:00.000+0000,2022-07-02T00:00:00.000+0000,MS- (544H8A),HyperXCloudAlphaBlackHX-HSCA-BK/WW,4P5K7AA,154,HAIS-BB-X01722,Best Buy Promo 6/5 to 7/2,undefined,Instant Savings,Best Buy,Approved,HyperX,UNKNOWN,UNKNOWN
41961,15721,2021-07-01T00:00:00.000+0000,2021-09-18T00:00:00.000+0000,8A- (7CC63AA),,,90000,11545,ASP: OPS AB Back to School event,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,OPS HW A4 & Scanners,BTS,BTS
56236,22372,2022-06-26T00:00:00.000+0000,2022-07-02T00:00:00.000+0000,MS- (544H8A),HyperXCloudAlphaSBlkHX-HSCAS-BK/WW,4P5L2AA,455,HAIS-BB-X01722,Best Buy Promo 6/5 to 7/2,undefined,Instant Savings,Best Buy,Approved,HyperX,UNKNOWN,UNKNOWN
33064,8801,2019-06-30T00:00:00.000+0000,2019-07-06T00:00:00.000+0000,5M- (7CC52AA),HP Envy 5055 All-in-One Printer,M2U85A,2070,8731,Bundle Program - FY'20 Jun - Aug ,SPECIAL NEGOTIATED DISCOUNT,IR program,Best Buy,Approved,HPS HW,Program,Other
48131,19281,2022-05-28T00:00:00.000+0000,2022-05-28T00:00:00.000+0000,KV- (4XM40A),15-EE1093CL,4S325UA,45360,AEL-2X-N10022,FQ3'22 Notebook EOL Program,undefined,End Of Life,Costco,Approved,PC,Program,Other
23722,7888,2019-10-01T00:00:00.000+0000,2019-12-31T00:00:00.000+0000,4H- (7CC47AA),,,9176.13,9381,ASP - CQ4'19 Printer Share Agreement,Sales goal Attainment,other Margin Enhancement activities,Costco,Approved,HPS HW,Program,Other
33062,8801,2019-06-30T00:00:00.000+0000,2019-07-06T00:00:00.000+0000,7T- (7CC62AA),OJP 6978 AiO,T0F29A,135,8731,Bundle Program - FY'20 Jun - Aug ,SPECIAL NEGOTIATED DISCOUNT,IR program,Best Buy,Approved,HPS HW,Program,Other
60940,23808,2023-01-01T00:00:00.000+0000,2023-01-28T00:00:00.000+0000,MS- (544H8A),HyperXCloudIIRedKHX-HSCP-RD,4P5M0AA,330,HAIS-NA-X12023,NEW AGE EE Promo 01-01-2023 - 28-01-2023 ,undefined,Instant Savings,New Age,Approved,HyperX,UNKNOWN,UNKNOWN
49409,19716,2021-10-25T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,KV- (4XM40A),,,200505,AEL-2X-N20921,Notebook EOL Holiday 2021,undefined,End Of Life,Staples,Approved,PC,Holiday,Holiday
